index,CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
0,12346.0,326,2,0.0,1,1,1,111,At Risk,2
1,12347.0,2,182,4310.0,5,5,5,555,Loyal Customers,0
2,12348.0,75,31,1797.24,2,3,4,234,Loyal Customers,0
3,12349.0,19,73,1757.55,4,4,4,444,Loyal Customers,0
4,12350.0,310,17,334.4,1,2,2,122,At Risk,2
5,12352.0,36,95,1545.41,3,4,4,344,Loyal Customers,0
6,12353.0,204,4,89.0,1,1,1,111,New Customers,3
7,12354.0,232,58,1079.4,1,3,4,134,At Risk,2
8,12355.0,214,13,459.4,1,1,2,112,New Customers,3
9,12356.0,23,59,2811.43,4,4,5,445,Loyal Customers,0
10,12357.0,33,131,6207.67,3,5,5,355,Loyal Customers,0
11,12358.0,2,19,1168.06,5,2,4,524,Loyal Customers,0
12,12359.0,8,251,6182.9800000000005,5,5,5,555,Loyal Customers,0
13,12360.0,52,129,2662.06,3,5,5,355,Loyal Customers,0
14,12361.0,287,10,189.9,1,1,1,111,At Risk,2
15,12362.0,3,274,5154.58,5,5,5,555,Loyal Customers,0
16,12363.0,110,23,552.0,2,2,3,223,New Customers,3
17,12364.0,8,85,1313.1,5,4,4,544,Loyal Customers,0
18,12365.0,291,23,320.69,1,2,2,122,At Risk,2
19,12367.0,4,11,168.9,5,1,1,511,Loyal Customers,0
20,12370.0,51,166,3541.94,3,5,5,355,Loyal Customers,0
21,12371.0,45,63,1887.96,3,4,4,344,Loyal Customers,0
22,12372.0,72,52,1298.04,2,3,4,234,Loyal Customers,0
23,12373.0,311,14,364.6,1,1,2,112,At Risk,2
24,12374.0,25,33,742.9300000000001,4,3,3,433,Loyal Customers,0
25,12375.0,3,18,455.42,5,2,2,522,Loyal Customers,0
26,12377.0,315,77,1628.12,1,4,4,144,At Risk,2
27,12378.0,130,219,4008.62,2,5,5,255,New Customers,3
28,12379.0,82,41,850.29,2,3,3,233,Loyal Customers,0
29,12380.0,22,105,2720.56,4,4,5,445,Loyal Customers,0
30,12381.0,5,91,1803.96,5,4,4,544,Loyal Customers,0
31,12383.0,185,100,1839.31,1,4,4,144,New Customers,3
32,12384.0,29,30,566.16,4,3,3,433,Loyal Customers,0
33,12386.0,338,10,401.9,1,1,2,112,At Risk,2
34,12388.0,16,100,2780.66,4,4,5,445,Loyal Customers,0
35,12390.0,80,32,549.84,2,3,3,233,Loyal Customers,0
36,12391.0,22,93,439.66,4,4,2,442,Loyal Customers,0
37,12393.0,72,64,1582.6000000000001,2,4,4,244,Loyal Customers,0
38,12394.0,64,27,1272.48,3,2,4,324,Loyal Customers,0
39,12395.0,16,159,2998.28,4,5,5,455,Loyal Customers,0
40,12397.0,36,126,2409.9,3,5,5,355,Loyal Customers,0
41,12398.0,46,85,1635.6599999999999,3,4,4,344,Loyal Customers,0
42,12399.0,119,59,1108.65,2,4,4,244,New Customers,3
43,12401.0,303,5,84.3,1,1,1,111,At Risk,2
44,12402.0,323,11,225.6,1,1,1,111,At Risk,2
45,12403.0,50,6,409.7,3,1,2,312,Loyal Customers,0
46,12405.0,149,54,1710.39,2,3,4,234,New Customers,3
47,12406.0,22,108,3280.75,4,4,5,445,Loyal Customers,0
48,12407.0,50,77,1708.1200000000001,3,4,4,344,Loyal Customers,0
49,12408.0,33,113,2842.57,3,4,5,345,Loyal Customers,0
50,12409.0,79,114,11056.93,2,4,5,245,Loyal Customers,0
51,12410.0,301,28,681.0799999999999,1,2,3,123,At Risk,2
52,12412.0,75,61,1226.88,2,4,4,244,Loyal Customers,0
53,12413.0,67,40,694.15,3,3,3,333,Loyal Customers,0
54,12414.0,217,18,562.41,1,2,3,123,New Customers,3
55,12415.0,24,778,123725.45,4,5,5,455,Loyal Customers,0
56,12417.0,3,198,3578.8,5,5,5,555,Loyal Customers,0
57,12418.0,113,34,668.58,2,3,3,233,New Customers,3
58,12420.0,64,29,600.39,3,2,3,323,Loyal Customers,0
59,12421.0,16,46,806.27,4,3,3,433,Loyal Customers,0
60,12422.0,96,39,803.5600000000001,2,3,3,233,New Customers,3
61,12423.0,1,126,1849.11,5,5,4,554,Loyal Customers,0
62,12424.0,163,30,1760.96,2,3,4,234,New Customers,3
63,12425.0,78,36,777.2,2,3,3,233,Loyal Customers,0
64,12426.0,195,30,582.73,1,3,3,133,New Customers,3
65,12427.0,12,35,708.37,4,3,3,433,Loyal Customers,0
66,12428.0,26,300,7877.2,4,5,5,455,Loyal Customers,0
67,12429.0,9,97,3750.4,5,4,5,545,Loyal Customers,0
68,12430.0,43,11,256.4,3,1,2,312,Loyal Customers,0
69,12431.0,36,239,6348.89,3,5,5,355,Loyal Customers,0
70,12432.0,43,108,5059.32,3,4,5,345,Loyal Customers,0
71,12433.0,1,420,13375.87,5,5,5,555,Loyal Customers,0
72,12434.0,85,54,765.19,2,3,3,233,Loyal Customers,0
73,12435.0,80,36,7829.89,2,3,5,235,Loyal Customers,0
74,12436.0,100,16,509.01,2,2,3,223,New Customers,3
75,12437.0,2,201,4896.66,5,5,5,555,Loyal Customers,0
76,12438.0,14,98,2906.85,4,4,5,445,Loyal Customers,0
77,12441.0,367,11,173.55,1,1,1,111,At Risk,2
78,12442.0,3,12,172.06,5,1,1,511,Loyal Customers,0
79,12444.0,21,177,5005.46,4,5,5,455,Loyal Customers,0
80,12445.0,22,4,133.4,4,1,1,411,Loyal Customers,0
81,12446.0,58,58,1002.3100000000001,3,3,4,334,Loyal Customers,0
82,12447.0,243,26,476.49,1,2,3,123,At Risk,2
83,12448.0,44,22,449.45,3,2,2,322,Loyal Customers,0
84,12449.0,22,191,4067.29,4,5,5,455,Loyal Customers,0
85,12450.0,156,8,197.88,2,1,1,211,New Customers,3
86,12451.0,11,355,8933.52,5,5,5,555,Loyal Customers,0
87,12452.0,17,23,428.57,4,2,2,422,Loyal Customers,0
88,12453.0,134,43,707.09,2,3,3,233,New Customers,3
89,12454.0,53,30,5.684341886080802e-14,3,3,1,331,Loyal Customers,0
90,12455.0,73,90,2466.86,2,4,5,245,Loyal Customers,0
91,12456.0,44,129,3153.89,3,5,5,355,Loyal Customers,0
92,12457.0,58,68,1917.78,3,4,4,344,Loyal Customers,0
93,12458.0,71,38,947.4,3,3,4,334,Loyal Customers,0
94,12461.0,94,35,826.88,2,3,3,233,New Customers,3
95,12462.0,2,72,1124.01,5,4,4,544,Loyal Customers,0
96,12463.0,46,88,1303.63,3,4,4,344,Loyal Customers,0
97,12464.0,10,29,1212.05,5,2,4,524,Loyal Customers,0
98,12465.0,8,51,733.89,5,3,3,533,Loyal Customers,0
99,12468.0,143,40,724.0400000000001,2,3,3,233,New Customers,3
100,12471.0,2,530,18705.52,5,5,5,555,Loyal Customers,0
101,12472.0,31,391,6229.48,4,5,5,455,Loyal Customers,0
102,12473.0,29,178,2837.73,4,5,5,455,Loyal Customers,0
103,12474.0,17,455,7064.7699999999995,4,5,5,455,Loyal Customers,0
104,12475.0,54,36,723.38,3,3,3,333,Loyal Customers,0
105,12476.0,1,264,6546.58,5,5,5,555,Loyal Customers,0
